ID,MP,Constituency,Region,Party,Gender,Married,Kids,Born,Occupation,Religion,Denomination,NDC-Votes,NPP-Votes,Total-Votes,NDC-Pres,NPP-Pres,MP-2012-No-Longer-Serving
177,Ahmed Yakubu Alhassan (Dr),Mion,Northern Region,NDC,M,Married,3,1971,Politician,Islam,Sunni,9931,9380,25115,13642,9276,
178,Alfred Sugri Tia (Dr),Nalerigu-Gambaga,Northern Region,NDC,M,Married,5,1956,Veterinary Surgeon,Christian,Presbyterian,20308,19888,40795,21136,18344,
179,Murtala Ibrahim Muhammed,Nanton,Northern Region,NDC,M,Married,1,1974,Educationist/Development Planning,Muslim,,10369,8667,19690,10634,8352,
180,Joseph Nikpe Bukari,Saboba,Northern Region,NDC,M,Married,2,1965,Teacher,Christian,Evangelical Presbyterian,13409,12733,26247,13350,12374,
181,Bashir Fuseini Alhassan,Sagnarigu,Northern Region,NDC,M,Married,4,1956,Jourrnalist,Islam,,29508,6985,37501,30040,6665,
182,Alhassan Mumuni (Alhaji),Salaga North,Northern Region,NDC,M,Married,6,1967,Education Executive,Islam,,6772,3462,10855,7042,3486,
183,Ibrahim Dey Abubakari (Alhaji),Salaga South,Northern Region,NDC,M,Married,5,1958,Accountant,Islam,,17393,15138,32919,19399,12679,
184,Mary Salifu Boforo (Hajia),Savelugu,Northern Region,NDC,F,Married,4,1951,Farmer/Social Worker,Islam,,18946,15083,35560,21165,13279,
185,Donald Dari Soditey,Sawla-Tuna-Kalba,Northern Region,NDC,M,Married,8,1957,Head Teacher,Christian,Catholic,13451,9863,24647,15737,7335,
186,Inusah Abdulai B. Fuseini (Alhaji),Tamale Central,Northern Region,NDC,M,Married,4,1959,Lawyer,Islam,Sunni,39545,23761,66271,42820,22993,
187,Dahamani Alhassan,Tamale North,Northern Region,Independent,M,Married,2,1957,Farmer/Agriculturist,Islam,Sunni,10885,5577,31423,22651,6819,
188,Haruna Iddrisu,Tamale South,Northern Region,NDC,M,Married,1,1962,Lawyer,Islam,Sunni,53320,16395,71388,53536,16611,
189,James Cecil Yanwube,Tatale-Sanguli,Northern Region,NPP,M,Married,4,1962,Accountant,Christian,Baptist,6826,7037,21260,10060,8892,
190,Wahab Wumbei Suhiyini,Tolon,Northern Region,NPP,M,Married,NA,1955,Politician,Islam,,15699,18113,37617,17878,18176,
191,Sagre Bambangi (Dr.),Walewale,Northern Region,NPP,M,Married,NA,1966,Lecturer,Islam,,15192,19328,45038,19241,23546,
192,Maban George Laliri,Wulensi,Northern Region,NDC,M,Widowed,9,1954,Educationist,Christian,Catholic,12551,11524,30460,15861,12853,
193,Mustapha Ussif,Yagaba-Kubori,Northern Region,NPP,M,Married,2,1979,Teacher,Islam,,7175,8123,15298,7080,7502,
194,Seidu Amadu (Alhaji),Yapei-Kusawgu,Northern Region,NDC,M,Married,7,1954,Economist/Banker/Insurer,Islam,,17038,16371,35958,21022,13345,
195,Tijani Habibu Mohammad (Alhaji),Yendi,Northern Region,NPP,M,Married,3,1965,Teaching,Islam,Sunni,14228,22961,49113,20658,26989,
196,Joseph Bipoba Naabu,Yunyoo,Northern Region,NDC,M,Married,3,1964,Business person,Christian,Catholic,9591,4318,14682,9904,3990,
197,Jabaah John Bennam,Zabzugu,Northern Region,NPP,M,Married,7,1965,Farmer/Agriculturist,Christian,Last Day Gospel Church,12213,13300,25866,12301,13046,
198,Mahama Ayariga,Bawku Central,Upper East Region,NDC,M,Married,0,1974,Lawyer,Islam,,24071,19082,43876,24707,17974,
199,Noah Ben Azure,Binduri,Upper East Region,NDC,M,Married,3,1960,Education / Agriculture,Christian,Church of God,15088,7543,23258,15855,6366,
200,Opam-Brown Emmanuel Akolbire,Bolgatanga Central,Upper East Region,NDC,M,Married,6,1960,ICT Specialist,Christian,Catholic,28144,13464,47592,35140,11027,
201,Dominic Ayine,Bolgatanga East,Upper East Region,NDC,M,Married,6,1966,Lawyer,Christian,Catholic,8841,3523,14393,10543,3123,
202,Albert Abongo,Bongo,Upper East Region,NDC,M,Married,6,1959,Civil Engineer,Christian,Catholic,18609,11118,34736,23185,9414,
203,James Agalga,Builsa North,Upper East Region,NDC,M,Married,1,1979,Lawyer,Christian,Catholic,10792,5690,21407,14824,5005,
204,Alhassan Azong,Builsa South,Upper East Region,PNC,M,Married,6,1965,Lecturer/Development Consultant,Islam,,4616,2114,12834,7417,2433,
205,Pele Abuga,Chiana-Paga,Upper East Region,NDC,M,Married,0,1960,Politician,Eckankar,,21552,7246,33947,25815,6659,
206,Azimbe Dominic Azumah,Garu,Upper East Region,NDC,M,Married,4,1950,Accountant,Christian,Catholic,10260,9703,20248,12779,6509,
207,Boniface Gambila Adagbila,Nabdam,Upper East Region,NPP,M,Married,0,1959,Psychologist,Christian,,6545,7097,13967,7533,4719,
208,Mark Owen Woyongo,Navrongo Central,Upper East Region,NDC,M,Married,2,1946, PR/Journalist/Advertiser/Marketer,Christian,Catholic,17907,15443,33686,19916,12780,
209,Laadi Ayii Ayamba,Pusiga,Upper East Region,NDC,F,Divorced,3,1961,Teaching,Islam,,16174,7749,24828,16981,6289,
210,Benson Tongo Baba,Talensi,Upper East Region,NDC,M,Married,NA,1948,Retired Deputy Director of Ghana Prisons Service,Christian,,9119,11380,27450,17110,7120,
211,David Adakudugu,Tempane,Upper East Region,NDC,M,Married,5,1968,Politician,Christian,Assemblies of God,13918,9737,26637,16747,8045,
212,Apul Cletus Avoka,Zebilla,Upper East Region,NDC,M,Married,4,1951,Lawyer,Christian,Catholic,21900,17082,41106,25465,13351,
213,Mathias Asoma Puozaa,Daffiama-Bussie-Issa,Upper West Region,NDC,M,Married,5,1948,Tutor,Christian,,7293,4931,13161,8700,3520,
214,Paul Derigubaa,Jirapa,Upper West Region,Independent,M,Married,6,1963,Farmer/Agriculturist,Christian, Catholic,11172,2165,26661,20603,3375,
215,Edward Kaale-Ewola Dery,Lambussie-Karni,Upper West Region,NDC,M,Married,NA,1969,Auditor,Christian,,8444,2569,16025,12313,2880,
216,Samson Abu,Lawra,Upper West Region,NDC,M,Married,4,1969,Politician,Christian,Catholic,12735,6588,19930,13739,5538,
217,Alban S. K. Bagbin,Nadowli-Kaleo,Upper West Region,NDC,M,Married,NA,1957,Lawyer,Christian,Catholic,16063,12073,28648,19825,7602,
218,Benjamin Bewa-Nyog Kunbuor (Dr.),Nandom,Upper West Region,NDC,M,Married,3,1957,Lawyer,Christian,Catholic,13172,7333,20639,14407,5774,
219,Alijata Sulemana Gbentie (Hajia),Sissala East,Upper West Region,NDC,F,Married,NA,1975,Social Worker,Islam,,8987,6603,24858,13559,7613,
220,Amin Amidu Suleimani,Sissala West,Upper West Region,NDC,M,Married,6,1957,Engineer,Islam,,11294,8144,22450,12850,7402,
221,Abdul-Rashid Pelpuo,Wa Central,Upper West Region,NDC,M,Married,6,1964,Development Consultant,Islam,,28149,22304,60235,37382,20822,
222,Ameen Salifu,Wa East,Upper West Region,NDC,M,Married,3,1965,Chartered Surveyor,Islam ,,12846,12505,25905,13900,11271,
223,Joseph Yieleh Chireh,Wa West,Upper West Region,NDC,M,Married,4,1954,Pharmacist,Christian,,16368,9918,28363,18856,7301,
224,Kwame Governs Agbodza,Adaklu,Volta Region,NDC,M,Married,3,1973,Architect,Christian,,11825,896,13440,12459,802,
225,Joseph Z. Amenowode,Afadjato South,Volta Region,NDC,M,Married,7,1955,Lecturer,Christian,Global Evangelical Church,22029,3784,26123,24184,1886,
226,Juliana Azumah-Mensah (Mrs),Agotime-Ziope,Volta Region,NDC,F,Married,2,1950,Nurse,Christian,Catholic,14485,1721,18382,16524,1350,
227,Joseph Kwadwo Ofori,Akan,Volta Region,Independent,M,Married,NA,1967,NA,Christian,,8396,6293,29762,21501,6926,
228,Peter Nortsu-Kotoe,Akatsi North,Volta Region,NDC,M,Married,2,1956,DCE,Christian,Evangelical Presbyterian,10879,1971,13109,11716,1049,
229,Bernard Ahiafor,Akatsi South,Volta Region,NDC,M,Married,2,1973,Lawyer,Christian,"Christ Foundation Ministry, Kwashiaman",21588,1388,33172,29761,2269,
230,Clement Kofi Humado,Anlo,Volta Region,NDC,M,Married,5,1953,Economist/Banker,Christian,Catholic,32654,3599,39829,37698,1599,
231,Emmanuel Kwasi Bandua,Biakoye,Volta Region,NDC,M,Married,3,1949,Lawyer,Christian,,19714,9092,29103,22033,6349,
232,Kwasi Ashiamah,Buem,Volta Region,NDC,M,Unkn,NA,1972,Marketer,Unkn,,19031,5404,25787,20819,4323,
233,Joe Kwashie Gidisu,Central Tongu,Volta Region,NDC,M,Married,3,1952,Educationist/Teacher,Christian,Evangelical Presbyterian,26127,3769,30708,27056,3019,
234,Benjamin Komla Kpodo,Ho Central,Volta Region,NDC,M,Married,7,1953,Chartered Accountant,Christian,,60129,6758,67931,62363,5148,
235,Emmanuel Kwasi Bedzrah,Ho West,Volta Region,NDC,M,Married,4,1967,Architect,Christian,,32623,3014,36613,33506,2683,
236,Bernice Adiku Heloo (Mrs) (PhD),Hohoe,Volta Region,NDC,F,Married,3,1959,Development Consultant,Christian,Catholic,40486,6358,49628,43301,5584,
237,Richard Mawuli Quashigah,Keta,Volta Region,NDC,M,Married,1,1968,Journalist,Christian,Action Chapel Intl,33570,1272,36318,34789,1223,
238,James Klutse Avedzi,Ketu North,Volta Region,NDC,M,Married,2,1964,Chartered Accountant,Christian,Global Evangelical Church,33825,8153,43922,37761,5263,
239,Fiifi Fiavi Kwetey,Ketu South,Volta Region,NDC,M,Married,4,1967,"Accounting,Economics, Commerce",Christian,,77837,4122,87534,81880,5165,
240,Della Sowah (Mrs),Kpando,Volta Region,NDC,F,Married,3,1959,Manager/Administrator,Christian,Winner's Chapel,19243,2307,24324,21759,2267,
241,Wisdom Gidisu,Krachi East,Volta Region,NDC,M,Married,8,1967,Educationist,Christian,Evangelical Presbyterian,13493,10405,30719,18631,10794,
242,John Majisi,Krachi Nchumuru,Volta Region,NDC,M,Married,7,1956,Lecturer,Christian,SDA,14049,8769,23090,15813,6509,
243,Helen Adjoa Ntoso,Krachi West,Volta Region,NDC,F,Single,3,1959,Nurse,Christian,Barea Christian Centre,10645,7196,18142,11634,6115,
244,Kwabena Bless John Oti,Nkwanta North,Volta Region,NDC,M,Single,0,1979,Youth in Dev. & Work,Christian,,21659,12762,34875,22341,11474,
245,Gershon K. B. Gbediame,NKwanta South,Volta Region,NDC,M,Married,5,1953,Educationist/Teacher,Christian,Great Commission Church Int.,13870,8465,36819,22571,11717,
246,George Loh,North Dayi,Volta Region,NDC,M,Married,1,1972,Lawyer,Christian,Evangelical Presbyterian,13724,2991,18145,16137,1503,
247,Samuel Okudzeto Ablakwa,North Tongu,Volta Region,NDC,M,Married,1,1980,Politician,Christian,Fountain Gate,33422,2522,36949,34162,2246,
248,Edem Asmah,South Dayi,Volta Region,NDC,M,Married,5,1955,Project Planning,Christian,,12309,1082,19596,17253,1482,
249,Kobena Mensah Woyome,South Tongu,Volta Region,NDC,M,Married,3,1971,Business Person,Christian,Winners Chapel Int.,32785,1945,39701,36989,2404,
250,George Kwame Aboagye,Ahanta West,Western Region,NDC,M,Married,4,1950,Economist,Christian,Methodist,21143,20099,46220,19609,24655,
251,George Kofi Arthur,Amenfi Central,Western Region,NDC,M,Single,0,1969,Educationist,Christian,Catholic,21149,16871,38575,22439,15037,
252,Akwasi Opong-Fosu,Amenfi East,Western Region,NDC,M,Married,4,1958,Local Government Practitioner,Christian,Word Miracle Church International,26134,24457,51406,25062,25215,
253,Eric Afful,Amenfi West,Western Region,NDC,M,Married,NA,1974,Economist,Christian,,26435,16829,43661,26777,16184,"Thomas Charlie Brown, NDC"
254,Mathias Kwame Ntow,Aowin,Western Region,NDC,M,Married,5,1957,Educationist,Christian,Pentecost,30035,21030,52997,32067,19603,
255,Richard Acheampong,Bia East,Western Region,NDC,M,Married,5,1970,HR,Christian,Assemblies of God,13497,4935,20464,14668,5267,
256,Michael Coffie Boampong,Bia West,Western Region,NDC,M,Married,6,1962,Accountant,Christian,Methodist,30632,14257,46020,32927,11978,
257,Gyedu Kingsley Aboagye,Bibiani-Anhwiaso-Bekwai,Western Region,NPP,M,Married,4,1968,Accountant,Christian,Methodist,29940,32016,63686,30904,31916,
258,Sampson Ahi,Bodi,Western Region,NDC,M,Married,5,1976,Business Person,Christian,Anglican,18586,7626,26661,18928,7112,
259,Joseph Cudjoe,Effia,Western Region,NPP,M,Married,3,1964,"Investment Manager, COCOBOD",Christian,,19863,14269,35627,14794,20385,
260,Emmanuel Armah-Kofi Buah,Ellembelle,Western Region,NDC,M,Married,2,1966,Manager/Administrator,Christian,Pentecost,26344,18067,45204,26262,18317,
261,Joe Ghartey,Essikado-Ketan,Western Region,NPP,M,Married,5,1961,Lawyer,Christian,Methodist,24442,16767,42035,17598,23629,
262,Kweku Tanikyi Kessie,Evalue-Ajomoro-Gwira,Western Region,NDC,M,Married,3,1967,Engineer,Christian,,15359,13157,29004,16202,12030,
263,Francis K. Anaman (WG. CDR. [RTD]),Jomoro,Western Region,NDC,M,Married,3,1960,Army Officer,Christian,Assemblies of God,21651,9630,51285,29392,17978,
264,Mintah Kwabena Akando,Juaboso,Western Region,NDC,M,Married,4,1980,Politician,Christian,Anglican,19432,8293,38971,26398,11497,
265,Joe Baidoe-Ansah,Kwesimintsim,Western Region,NPP,M,Married,3,1964,Communication Expert,Christian,Catholic,9901,16179,33596,13001,19951,
266,Alex Kofi Agyekum,Mpohor,Western Region,NPP,M,Married,4,1962,Teacher,Christian,Methodist,6333,7114,17598,7955,8437,
267,Francis Adu-Blay Koffie,Prestea-Huni Valley,Western Region,NDC,M,Married,2,1962,Miner,Christian,Living Word International Church,39808,31209,72441,40904,30175,
268,"Herod Cobbina,",Sefwi Akontombra,Western Region,NDC,M,Married,3,1956,Storekeeper,Christian,Catholic,18926,12568,32089,19947,11473,
269,Evans Paul Aidoo,Sefwi Wiawso,Western Region,NDC,M,Married,5,1958,Educationist/Teacher,Christian,Catholic,31993,26926,59482,35806,22629,
270,Papa Owusu-Ankomah,Sekondi,Western Region,NPP,M,Married,3,1958,Lawyer,Christian,Methodist,13644,14735,28787,12417,15884,
271,Gabriel Kodwo Essilfie,Shama,Western Region,NDC,M,Married,4,1950,Accountant,Christian,Methodist,18406,17154,37831,19767,16972,
272,Stephen M. E. K. Ackah,Suaman,Western Region,NDC,M,Married,3,1950,Teacher,Christian,Methodist,9588,5464,15224,10006,4825,
273,Kwabena Okyere Darko-Mensah,Takoradi,Western Region,NPP,M,Married,2,1972,Biochemist/Hotelier,Christian,Methodist,15889,25958,42516,16232,25760,
274,Gifty Eugenia Kusi (Mrs),Tarkwa-Nsuaem,Western Region,NPP,F,Married,4,1956,Medical Doctor/Nurse/Health Worker,Christian,Pentecost,33135,37816,72923,32600,38506,
275,Isaac Adjei Mensah,Wassa East,Western Region,NDC,M,Married,5,1963,Manager/Administrator/HR Practitioner,Christian,Pentecost,19242,13996,33657,19531,13102,
